📺央视频道,#genre#
CCTV-14,http://114.238.59.73:4000/rtp/239.49.8.56:9826
CCTV-14,http://114.238.59.73:4000/rtp/239.49.8.136:6000
CCTV-14,http://220.176.218.207:9000/udp/239.252.220.92:5140
CCTV-14,http://144.255.16.170:6688/udp/239.21.1.157:5002
CCTV-15,http://183.236.43.98:4013/udp/239.77.1.239:5146
CCTV-15,http://221.205.22.60:9003/hls/16/index.m3u8
CCTV-15,http://220.176.218.207:9000/udp/239.252.219.79:5140
CCTV-15,http://36.136.38.87:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://121.29.169.87:2083/rtp/239.253.93.154:6322
CCTV-15,http://171.8.171.176:8800/rtp/239.16.20.15:10150
CCTV-16,http://iptv.4666888.xyz/iptv2A.php?id=32
CCTV-16,http://220.176.218.207:9000/udp/239.252.220.237:5140
CCTV-16,http://119.135.193.13:10000/udp/239.77.0.165:5146
CCTV-16,http://117.86.48.47:7777/rtp/239.49.8.31:8000
CCTV-16,http://58.35.95.16:9898/rtp/233.18.204.215:5140
CCTV-16,http://183.236.43.98:4013/udp/239.77.0.165:5146
CCTV-17,http://14.145.179.245:8888/udp/239.77.1.121:5146
CCTV-17,http://114.238.59.73:4000/rtp/239.49.8.132:6000
CCTV-17,http://117.86.48.47:7777/rtp/239.49.8.52:9810
CCTV-17,http://117.86.48.47:7777/rtp/239.49.8.132:6000
CCTV-17,http://114.238.59.73:4000/rtp/239.49.8.52:9810
CCTV-17,http://114.226.212.169:8787/rtp/239.49.8.52:9810
CETV-1,http://144.255.16.170:6688/udp/239.21.2.7:5002
CETV-1,http://171.8.171.176:8800/rtp/239.16.20.78:10780
CETV-1,http://121.29.215.252:2083/rtp/239.253.92.211:6069
CETV-1,http://121.29.169.87:2083/rtp/239.253.92.211:6069
CETV-1,http://106.59.2.37:55555/udp/239.200.201.49:8756
CETV-1,http://123.118.54.253:8686/rtp/239.3.1.57:8152
CETV-2,http://116.9.34.226:4000/udp/239.81.0.245:4056
CETV-2,http://123.114.99.216:4022/rtp/239.3.1.54:4120
CETV-2,http://106.59.2.37:55555/rtp/239.200.201.121:8780
CETV-2,http://121.29.215.252:2083/rtp/239.253.92.108:6136
CETV-2,http://114.243.96.219:8888/rtp/239.3.1.54:4120
CETV-2,http://121.29.169.87:2083/rtp/239.253.92.108:6136
CETV-4,http://117.86.48.47:7777/rtp/239.49.0.125:8000
CETV-4,http://183.236.43.98:4013/udp/239.253.43.40:5146
CETV-4,http://58.35.95.16:9898/rtp/233.18.204.111:5140
CETV-4,http://121.29.169.87:2083/rtp/239.253.92.200:6137
CETV-4,http://106.116.240.220:9999/rtp/239.254.200.227:6261
CETV-4,http://123.118.54.253:8686/rtp/239.3.1.56:4120

💰央视付费频道,#genre#
文化精品,http://183.236.43.98:4013/udp/239.253.43.13:5146
文化精品,http://58.35.95.16:9898/rtp/233.18.204.186:5140
文化精品,http://106.59.2.11:55555/rtp/239.200.200.92:8028
文化精品,http://106.116.240.220:9999/rtp/239.254.201.229:7260
文化精品,http://180.171.157.7:8889/rtp/233.18.204.186:5140
文化精品,http://106.59.2.37:55555/rtp/239.200.200.92:8028
央视台球,http://14.145.179.245:8888/udp/239.253.43.11:5146
央视台球,http://60.26.63.145:8000/rtp/225.1.2.170:5002
央视台球,http://119.135.193.13:10000/udp/239.253.43.11:5146
央视台球,http://183.236.43.98:4013/udp/239.253.43.11:5146
央视台球,http://58.35.95.16:9898/rtp/233.18.204.177:5140
央视台球,http://180.171.157.7:8889/rtp/233.18.204.177:5140
风云音乐,http://183.236.43.98:4013/udp/239.253.43.6:5146
风云音乐,http://106.59.2.11:55555/rtp/239.200.200.86:8008
风云音乐,http://121.29.169.87:2083/rtp/239.253.93.253:6431
风云音乐,http://121.29.215.252:2083/rtp/239.253.93.253:6431
风云音乐,http://220.176.218.207:9000/udp/239.252.219.87:5140
风云音乐,http://60.26.63.145:8000/rtp/225.1.2.176:5002
第一剧场,http://183.236.43.98:4013/udp/239.253.43.15:5146
第一剧场,http://iptv.4666888.xyz/iptv2A.php?id=61
第一剧场,http://220.176.218.207:9000/udp/239.252.219.86:5140
第一剧场,http://121.29.215.252:2083/rtp/239.253.93.138:6428
第一剧场,http://121.29.169.87:2083/rtp/239.253.93.138:6428
第一剧场,http://58.35.95.16:9898/rtp/233.18.204.184:5140
风云剧场,http://220.176.218.207:9000/udp/239.252.219.89:5140
风云剧场,http://121.29.169.87:2083/rtp/239.253.93.251:6429
风云剧场,http://121.29.215.252:2083/rtp/239.253.93.251:6429
风云剧场,http://119.135.193.13:10000/udp/239.253.43.16:5146
风云剧场,http://60.26.63.145:8000/rtp/225.1.2.174:5002
风云剧场,http://106.59.2.11:55555/rtp/239.200.200.84:8016
怀旧剧场,http://119.135.193.13:10000/udp/239.253.43.5:5146
怀旧剧场,http://14.145.179.245:8888/udp/239.253.43.5:5146
怀旧剧场,http://121.29.169.87:2083/rtp/239.253.93.252:6430
怀旧剧场,http://106.116.240.220:9999/rtp/239.254.201.220:7256上海
怀旧剧场,http://60.26.63.145:8000/rtp/225.1.2.173:5002
怀旧剧场,http://58.35.95.16:9898/rtp/233.18.204.182:5140
女性时尚,http://119.135.193.13:10000/udp/239.253.43.8:5146
女性时尚,http://58.35.95.16:9898/rtp/233.18.204.180:5140
女性时尚,http://106.116.240.220:9999/rtp/239.254.201.228:7255
女性时尚,http://60.26.63.145:8000/rtp/225.1.2.172:5002
女性时尚,http://180.171.157.7:8889/rtp/233.18.204.180:5140
女性时尚,http://14.145.179.245:8888/udp/239.253.43.8:5146
高尔夫网球,http://60.26.63.145:8000/rtp/225.1.2.169:5002
高尔夫网球,http://58.35.95.16:9898/rtp/233.18.204.181:5140
高尔夫网球,http://106.116.240.220:9999/rtp/239.254.201.223:7252
高尔夫网球,http://180.171.157.7:8889/rtp/233.18.204.181:5140
高尔夫网球,http://220.176.218.207:9000/udp/239.252.219.95:5140
高尔夫网球,http://121.29.215.252:2083/rtp/239.253.93.122:6465
风云足球,http://14.145.179.245:8888/udp/239.253.43.14:5146
风云足球,http://121.29.169.87:2083/rtp/239.253.93.254:6432
风云足球,http://121.29.215.252:2083/rtp/239.253.93.254:6432
风云足球,http://106.116.240.220:9999/rtp/239.254.201.222:7251
风云足球,http://60.26.63.145:8000/rtp/225.1.2.168:5002
风云足球,http://119.135.193.13:10000/udp/239.253.43.14:5146
世界地理,http://14.145.179.245:8888/udp/239.253.43.7:5146
世界地理,http://58.35.95.16:9898/rtp/233.18.204.179:5140
世界地理,http://183.236.43.98:4013/udp/239.253.43.7:5146
世界地理,http://119.135.193.13:10000/udp/239.253.43.7:5146
世界地理,http://220.176.218.207:9000/udp/239.252.219.93:5140
世界地理,http://106.116.240.220:9999/rtp/239.254.201.226:7254
兵器科技,http://14.145.179.245:8888/udp/239.253.43.9:5146
